student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
1,Student_000,9A,71.0,73.9,81.6,73.1,26.1,63.7
2,Student_001,11A,63.3,88.6,74.9,55.8,5.0,64.2
3,Student_002,10A,72.8,39.0,62.8,52.4,21.4,56.9
4,Student_003,9C,83.3,68.4,52.9,63.0,5.9,58.1
5,Student_004,9C,62.2,50.2,71.8,60.8,82.6,58.9
6,Student_005,12A,62.2,52.7,67.5,57.1,147.5,62.8
7,Student_006,9A,84.0,51.1,74.5,72.1,5.0,69.5
8,Student_007,10A,74.2,47.0,70.9,75.4,155.2,76.1
9,Student_008,9C,59.4,60.7,76.7,64.1,37.0,59.5
10,Student_009,10C,71.5,47.5,54.5,82.2,17.8,62.6
11,Student_010,12A,59.4,64.1,80.4,48.2,5.0,57.3
12,Student_011,12C,59.4,59.2,64.8,60.5,34.7,58.8
13,Student_012,11A,67.9,56.4,91.1,53.7,79.1,80.5
14,Student_013,10C,42.0,46.4,52.4,38.7,61.4,55.5
15,Student_014,12B,44.3,51.3,86.3,61.9,5.0,47.5
16,Student_015,11A,58.3,71.3,64.8,61.4,5.0,65.8
17,Student_016,10B,52.8,67.5,52.9,82.7,25.8,65.3
18,Student_017,9A,68.8,45.3,55.2,71.2,17.5,51.6
19,Student_018,12A,54.1,61.5,57.5,49.7,13.2,59.2
20,Student_019,11B,48.1,71.3,67.9,87.1,16.5,71.8
21,Student_020,11A,82.6,35.0,69.3,78.9,81.4,63.1
22,Student_021,12C,62.3,68.2,54.0,70.6,132.4,65.3
23,Student_022,9B,65.8,50.1,61.7,60.1,26.0,65.1
24,Student_023,9C,47.9,68.6,92.0,50.5,118.3,71.0
25,Student_024,11C,58.5,48.6,86.2,58.2,19.4,63.4
26,Student_025,11C,66.3,32.9,68.1,77.2,32.4,61.3
27,Student_026,10C,51.2,35.6,62.5,87.5,12.8,55.8
28,Student_027,9A,69.5,60.7,63.7,83.1,51.1,60.8
29,Student_028,10B,57.8,63.9,70.6,56.6,193.1,80.5
30,Student_029,9A,61.5,46.4,47.7,48.4,46.3,60.7
31,Student_030,9B,57.8,69.6,58.4,64.8,22.1,59.4
32,Student_031,11B,87.2,35.1,38.6,40.0,52.2,56.9
33,Student_032,11A,64.8,59.0,67.6,67.2,6.6,52.4
34,Student_033,11B,52.3,41.8,71.1,61.1,109.8,64.0
35,Student_034,10C,74.9,50.2,55.2,56.9,35.0,64.6
36,Student_035,11C,50.3,60.7,84.0,42.3,29.8,58.0
37,Student_036,9C,67.5,47.1,44.8,69.7,44.1,65.1
38,Student_037,10C,41.5,54.2,41.5,56.1,49.0,46.7
39,Student_038,10A,49.1,75.1,65.1,47.8,5.0,59.9
40,Student_039,12B,67.4,51.3,76.7,25.7,57.4,54.1
